Time,Value
0.0113553,0
0.0210635,0
0.0472862,0.00203224
0.129121,0.0768105
0.149041,0.0285494
0.189642,0
0.217945,0
0.248536,0.0171223
0.297107,0.0311709
0.298566,0.0153531
0.303352,0
0.3186,0.00970527
0.38477,0
0.394325,0
0.398043,0
0.468216,0
0.601833,0.12792
0.606134,0.113045
0.62873,0.134468
0.630333,0.130477
0.690877,0.123409
0.73051,0.143172
0.757655,0.0386177
0.758023,0.00887745
0.761386,0
0.768549,0.00222193
0.803873,0
0.80401,0
0.871374,0
0.901309,0.0201684
0.904173,0
0.965626,0.0586707
1.10427,0.177207
1.14001,0.18771
1.20191,0.195014
1.39957,0.366118
1.42827,0.38953
1.45818,0.268129
1.48727,0.280335
1.48887,0.260427
1.5112,0.263345
1.51201,0.233841
1.56423,0.254686
1.5703,0.253603
1.57204,0.25292
1.63619,0.309701
1.65881,0.272856
1.73372,0.335768
1.81239,0.390501
1.85073,0.425743
1.85117,0.425399
1.89903,0.473247
1.91655,0.479743
1.93686,0.488773
1.96035,0.501146
1.99231,0.513053
2.01289,0
2.01404,0
2.09282,0.580545
2.09561,0.572055
2.10382,0.53138
2.11051,0.504993
2.11724,0.497973
2.12295,0.484986
2.12865,0.464527
2.13541,0.43745
2.14338,0.423344
2.16492,0.376199
2.17373,0.378975
2.21062,0.311745
2.22915,0.310846
2.23416,0.307409
2.24131,0.291644
2.24341,0.287576
2.26406,0.278412
2.27073,0.216174
2.28208,0.208565
2.30016,0.188945
2.32163,0.180999
2.34082,0.167575
2.3703,0.17569
2.37032,0.140785
2.37696,0.128734
2.38187,0.112215
2.38393,0.10477
2.45864,0.0805546
2.46713,0.0798826
2.50853,0.111567
2.51248,0.11157
2.51328,0.0926902
2.52967,0.105091
2.54795,0.118582
2.55327,0.119404
2.55537,0.119003
2.55906,0.0365719
2.58066,0.0457943
2.60608,0.0532362
2.61283,0.0517669
2.62632,0.00606721
2.66371,0
2.683,0
2.73359,0
2.7376,0
2.75235,0
2.76604,0
2.78972,0
2.86624,0
2.86909,0
2.87678,0
2.89476,0
2.93153,0
2.95957,0
2.96042,0
2.96926,0
3.03542,0
3.04958,0
3.08838,0
3.09405,0
3.1036,0
3.1129,0
3.12645,0
3.12834,0
3.15904,0.0171925
3.1624,0
3.1705,0.000853737
3.18077,0.00909489
3.21541,0.0106054
3.27557,0.0676568
3.30811,0.0684986
3.34704,0
3.40714,0.0526979
3.41336,0.0297431
3.43631,0.0467746
3.44768,0.0428471
3.45734,0.0043524
3.46793,0
3.49293,0.0135092
3.52177,0
3.55457,0
3.58789,0
3.61918,0
3.62291,0
3.69237,0
3.71674,0
3.72486,0.00581159
3.73957,0
3.76231,0
3.76527,0
3.78017,0
3.81907,0
3.91317,0
3.95149,0
3.96258,0
4.05192,0.0588401
4.05928,0.0387102
4.06395,0.0264996
4.06851,0
4.09204,0
4.09525,0.00222381
4.1213,0.0193103
4.14531,0.0218495
4.20675,0
4.22506,0
4.25451,0
4.26438,0
4.32652,0.0601935
4.35048,0.0611461
4.36051,0.0522849
4.37139,0.0426257
4.41357,0
4.42473,0
4.43588,0.00926267
4.441,0.00200361
4.50551,0
4.50612,0
4.52207,0
4.57503,0
4.61983,0
4.63746,0
4.64292,0
4.6551,0
4.71616,0
4.73764,0
4.74123,0
4.77989,0
4.81744,0
4.85358,0
4.86087,0.000165803
4.94349,0
4.97766,0
5.03416,0
5.10094,0
5.11111,0
5.12376,0
5.17278,0
5.20591,0.0140929
5.21631,0
5.29253,0.0709592
5.30445,0.0796568
5.3056,0.0428908
5.3129,0.0355885
5.3347,0.0469277
5.40832,0.0778326
5.41057,0.0619791
5.43128,0.0692691
5.43804,0.0627042
5.46521,0.0760989
5.49904,0.100625
5.54353,0.11434
5.55371,0.0344719
5.55923,0.0255068
5.56361,0.0165738
5.57375,0.0265718
5.60055,0.0176392
5.61622,0.032547
5.64254,0.0387153
5.651,0.035743
5.66727,0.0282388
5.68987,0.0171008
5.69048,0.00406647
5.79733,0
5.87233,0.0525387
5.87336,0.0489377
5.87716,0.0259715
5.94496,0
5.9751,0
6.00923,0
6.02761,0.0109311
6.04129,0
6.04271,0
6.05863,0.0132692
6.06643,0.0192128
6.11163,0.0350756
6.13131,0
6.18871,0.0541425
6.19043,0.0115388
6.20623,0.00313844
6.28176,0.00867541
6.39913,0
6.46363,0
6.57348,0
6.57361,0
6.58006,0
6.64003,0
6.64631,0
6.65247,0
6.74328,0.05239
6.78056,0
6.78978,0.00484334
6.81648,0
6.83907,0
6.85613,0.00287982
6.88774,0.0318688
6.9029,0.0331701
6.94277,0.0390972
6.94402,0.0364092
6.94902,0.024336
6.9591,0.000807716
7.00994,0.0515162
7.04045,0.0633821
7.07771,0.0553657
7.07972,0.0295155
7.08458,0.0275656
7.10274,0.0417261
7.11229,0.0420012
7.12514,0.0503003
7.14735,0.0149418
7.16518,0
7.17452,0.00833756
7.25511,0.0868206
7.28068,0.0896658
7.29436,0.0884731
7.29915,0.0892627
7.37782,0.12192
7.42015,0.146095
7.4407,0.132961
7.44434,0.0372414
7.46936,0
7.48375,0.000752201
7.48655,0.000665537
7.5242,0.027592
7.52689,0.0285434
7.58712,0.0371678
7.58823,0.0053892
7.6441,0.0476311
7.65147,0.0312143
7.65403,0.0259011
7.68446,0.0402613
7.68752,0.00115405
7.72295,0.0215836
7.74684,0.0343749
7.74734,0.0200555
7.74804,0.00547089
7.78123,0.0379579
7.79282,0.0407685
7.83296,0
7.92872,0
7.94904,0
7.95706,0
7.95984,0
7.99525,0.0144196
